airfoil,re,alpha_deg,cl,cd,cm,confidence
ag35,50000.0,-0.5,0.22947775668207127,0.02238588086965254,-0.04142562279613667,0.9838756836178641
ag35,50000.0,-0.25,0.28417308263749846,0.023038641879724396,-0.04780065104000704,0.9846519491995267
ag35,50000.0,0.0,0.3406670042343209,0.023635561086849024,-0.05414298040326626,0.9853829781288559
ag35,50000.0,0.25,0.39449534618895116,0.02412433448444361,-0.05949002657436876,0.9860109535795004
ag35,50000.0,0.5,0.44291245664848955,0.024475401616587487,-0.06329523073366243,0.986505239111272
ag35,50000.0,0.75,0.48597695831585075,0.0246981979191653,-0.0656501222993085,0.9868773110481053
ag35,50000.0,1.0,0.5250325129122271,0.024831958733516492,-0.06692260741967632,0.9871619208297885
ag35,50000.0,1.25,0.5606356014593594,0.024925340200308163,-0.0672793268567407,0.9873824608355469
ag35,50000.0,1.5,0.5928716874775299,0.02501923305446337,-0.06676592251837493,0.9875376480568534
ag35,50000.0,1.75,0.6224682658883152,0.025137485884388643,-0.06558067788634084,0.9876185283918062
ag35,50000.0,2.0,0.6505279120379206,0.02528493187430643,-0.06402558313884153,0.9876342644622366
ag35,50000.0,2.25,0.6777765108753279,0.02545137220250428,-0.06232510996316085,0.9876283011424654
ag35,50000.0,2.5,0.7043883434665136,0.025622368562051422,-0.060570037171758524,0.9876777407067412
ag35,50000.0,2.75,0.7302295385680604,0.025792133127085646,-0.05876714261420475,0.9878710110252948
ag35,50000.0,3.0,0.7551313431031237,0.025969370291988758,-0.05690138460916239,0.9882670709053725
ag35,50000.0,3.25,0.7790583881718471,0.02617146483310993,-0.05497214368027929,0.9888611464956335
ag35,50000.0,3.5,0.802176408094297,0.02641056646670198,-0.05300535726321455,0.9895862277807455
ag35,50000.0,3.75,0.8248377712728727,0.026683649076003287,-0.051042865788725925,0.9903457504604891
ag35,50000.0,4.0,0.8474457637021606,0.026978838569422927,-0.049115756200001116,0.9910510956666004
ag35,50000.0,4.25,0.8702038728441644,0.02729481376266556,-0.04722812316774924,0.9916448520613756
ag35,50000.0,4.5,0.892959522649465,0.02765457561324034,-0.04536366960447247,0.9920981501480879
ag35,50000.0,4.75,0.9153411375807393,0.028099260887162112,-0.04350123902267172,0.9923921839374872
ag35,50000.0,5.0,0.9370909821814124,0.02866824362698969,-0.04162460051552765,0.9925131784412604
ag35,50000.0,5.25,0.9582694968798674,0.02938488221769157,-0.03972524006965504,0.9924664330409023
ag35,50000.0,5.5,0.9791359354503736,0.030255785389492567,-0.03780393596295969,0.9922781853663188
ag35,50000.0,5.75,0.9998950361215473,0.03127323583781264,-0.03587204719652636,0.9919716392970126
ag35,50000.0,6.0,1.0206124565725812,0.03241985974217726,-0.03394537259769988,0.9915455946081003
ag35,50000.0,6.25,1.041255490239765,0.03368443850472172,-0.0320383263645687,0.9909766553859913
ag35,50000.0,6.5,1.0616552379343538,0.03508046610778097,-0.030170196766273083,0.9902317150771834
ag35,50000.0,6.75,1.0814574043171588,0.036648159412817904,-0.028363754640536108,0.9892705322755809
ag35,50000.0,7.0,1.1001865246176525,0.038435807070477876,-0.026629239569027078,0.9880315130609006
ag35,50000.0,7.25,1.117360287924278,0.04048102890169696,-0.024954454278122696,0.9864081335605398
ag35,50000.0,7.5,1.1325726253577426,0.04280879345771466,-0.02330695324366357,0.9842218686090877
ag35,50000.0,7.75,1.145528110913043,0.0454404637876955,-0.021643872112736683,0.9811845231714071
ag35,50000.0,8.0,1.156037095812217,0.04840112025434075,-0.019929303634771037,0.9768359649336666
ag35,50000.0,8.25,1.1639859237877723,0.05171739131606863,-0.01816062363019881,0.9704427551877441
ag35,50000.0,8.5,1.1692062627283537,0.05540436739956678,-0.016409741136944565,0.9608482884746269
ag35,50000.0,8.75,1.1708977924682857,0.059460162216494,-0.014891256705103413,0.9462864629773425
ag35,50000.0,9.0,1.165780000935868,0.06397355430596789,-0.014077770176407593,0.9242500862356599
ag35,50000.0,9.25,1.1443160934466199,0.0696464920781167,-0.014871552543342454,0.8917619239776949
ag35,50000.0,9.5,1.0899790015179895,0.07877963383842232,-0.018593029635093652,0.8471696420813567
ag35,50000.0,9.75,0.9993371483582407,0.0942642147054027,-0.02591954667721381,0.7957122552887214
ag35,50000.0,10.0,0.9095626256176709,0.11370914541813949,-0.03528402720529297,0.7539513910064386
ag35,50000.0,10.25,0.8591194949082809,0.1297170357140322,-0.04424248228801836,0.7344556837457741
ag35,50000.0,10.5,0.8419768449516221,0.14011394016707107,-0.05169062789567255,0.731840738224776
ag35,50000.0,10.75,0.838010681774944,0.14731158953922047,-0.05744812800910086,0.7365003204908173
ag35,50000.0,11.0,0.8376089237204576,0.15316574493055926,-0.06171786028553264,0.7437844808243239
ag35,50000.0,11.25,0.8384645488167662,0.15837573254402826,-0.06492039938935479,0.7522103961986414
ag35,50000.0,11.5,0.840291593147827,0.1631515406182688,-0.06746905465616757,0.7612898296747641
ag35,50000.0,11.75,0.8430356623238627,0.16757189297053302,-0.06965112919688113,0.7707174024206008
ag35,50000.0,12.0,0.8465752076110832,0.17169675620612998,-0.07163708076071479,0.7801644098307662
ag35,50000.0,12.25,0.8507402417812602,0.17558834036169377,-0.07352813350464424,0.7892818775118876
ag35,50000.0,12.5,0.8553541894608359,0.17930731183366894,-0.0753919152277397,0.7977603237973353
ag35,50000.0,12.75,0.860258864471589,0.1829070644146769,-0.07727984546160442,0.8053841906945873
