span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,n_packs,cells_per_string,string_plan,n_strings,n_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,1.6,0.34,0.6,0.5,0.216,1.741673575454751,2,mixed,29+29+14+6,4,78,19x10E,11.413992886529579,1.978800994865484,18.192835001302,0.30809998086797147,9.098424341245016,10.918109209494018,11.099094674045547,89.98191769511783,92.52261257192131,2.7452480346792836,0.0030570333732887253,0.6974192891039026,-272.97296672563004,181.02007154260357,0.283556496203816,1716.8371489608571,2063.2791768663146,14.666666666666668,False,"SOC floor violated (min 0.003, unmet 181 Wh); did not refill (end SOC 0.697)"
6.0,0.4,1.6,0.34,0.4,0.0,0.16000000000000003,0.4467963792362206,2,mixed,29+29+18+1+1,5,78,19x10E,11.15139689462527,1.787231131016693,20.14288995711532,0.31178401671121747,9.462866769725155,11.355440123670185,11.543675061289456,89.87157997416978,92.67501011456271,2.831510433013851,0.004389189753395722,0.6973169163566947,-273.0718587994329,180.6890583797594,0.27085670098369974,1716.8371489608571,2063.083267357071,14.666666666666668,False,"SOC floor violated (min 0.004, unmet 181 Wh); did not refill (end SOC 0.697)"
5.5,0.3,1.6,0.34,0.4,0.0,0.12,0.31638983679641164,2,mixed,21+21+8,3,50,22x12E,9.59983348747534,1.211950170623354,24.95977205435866,0.31841690645744386,10.661981318534144,12.794377582240973,13.006465254743459,57.41595793168649,58.925792099592904,7.370810621299398,0.2456416771626653,0.6950963029914611,-275.2169713102486,0.0,0.22772305126488016,1100.5366339492666,1272.07477592761,14.666666666666668,False,did not refill (end SOC 0.695)
6.0,0.4,1.6,0.34,0.4,0.0,0.16000000000000003,0.4467963792362206,2,mixed,29+29+18+1,4,77,19x10E,11.035396894625269,1.787231131016693,20.14288995711532,0.31178401671121747,9.413520390625298,11.296224468750356,11.483477810325043,88.3300849757043,91.02783623841972,2.8658280845016613,0.006683173062184035,0.6950910130180941,-275.2220814245211,162.48296539537066,0.3056369059118893,1694.826416281871,2025.101051202255,14.666666666666668,False,"SOC floor violated (min 0.007, unmet 162 Wh); did not refill (end SOC 0.695)"
5.5,0.36,1.6,0.34,0.4,0.0,0.144,0.3835149184829639,3,mixed,26+26+10,3,62,22x12E,11.498849709015255,1.4688392223923201,20.594493623836772,0.3125376910323436,10.599576598227074,12.719491917872489,12.930338238370343,68.73067146394342,70.4926529709043,6.072448339181835,0.40149953730056254,0.7898311694427238,-275.5546354774932,0.0,0.23196021538464368,1364.6654260970909,1546.2749394507675,14.5,False,did not refill (end SOC 0.790)
5.5,0.36,1.3,0.34,0.6,0.5,0.216,1.632376116030971,2,mixed,29+29+14+7+2+2,6,83,19x10E,11.187112188917972,1.8190621607084598,16.629448214248328,0.30452241717386863,9.394716431724676,11.273659718069611,11.460539012104919,97.27850246041424,100.2719101436783,2.7871533278234506,0.0044051837629795094,0.726090190251183,-278.3878231818322,278.3878231818322,0.15020312230936145,1826.8908123557821,2242.6225307603963,14.666666666666668,False,"SOC floor violated (min 0.004, unmet 278 Wh); did not refill (end SOC 0.726)"
6.0,0.3,1.6,0.34,1.0,1.0,0.3,3.0,2,mixed,29+29+12+9,4,79,19x10E,11.042788217817277,1.7999999999999998,20.000000000000004,0.3115384615384616,9.383212856154394,11.259855427385272,11.446505892791524,92.56015227492414,95.4919672328412,2.843162258403162,0.004809279186101632,0.6913469743475945,-278.83882278022367,218.57995619172183,0.13859455921088326,1738.8478816398417,2128.8072608720777,14.666666666666668,False,"SOC floor violated (min 0.005, unmet 219 Wh); did not refill (end SOC 0.691)"
5.0,0.3,1.6,0.34,1.0,1.0,0.3,2.5,3,mixed,29+29+12+3+3,5,76,22x12E,11.875142635530016,1.5,16.666666666666668,0.3046153846153847,10.659141735880878,12.790970083057053,13.003001270703878,81.49487259430882,83.65868563757066,5.810603531844556,0.29347569423495534,0.7872503901774753,-279.2941846328382,0.0,0.20634955799436838,1672.8156836028852,1856.793801681606,14.333333333333332,False,did not refill (end SOC 0.787)
5.5,0.4,1.3,0.34,0.4,0.5,0.16000000000000003,1.652408364194063,2,mixed,29+29+24+8+8,5,98,19x10E,11.463055267459806,1.9365780074065753,15.62033643070757,0.3018329254503263,9.216820820096133,11.06018498411536,11.243525586317366,99.59134523937065,102.56206903591143,2.7006038294683927,0.0033359895212976883,0.9999983818762476,-280.2140247865738,280.2140247865738,8.44292975408976,2157.051802540563,2299.404403077535,14.166666666666668,False,"SOC floor violated (min 0.003, unmet 280 Wh)"
5.5,0.4,1.3,0.34,0.6,0.0,0.24,0.5233448015239407,2,mixed,29+29+24+8+3+3,6,96,19x10E,11.35299434582477,1.8437351682438305,16.406911643830778,0.30395774567274125,9.400574383594126,11.28068926031295,11.467685080474176,99.13561466262304,102.22252806923976,2.7388040727776484,0.006338797344737244,0.9737347601239165,-280.42290290102017,280.42290290102017,0.15583812501435307,2113.0303371825926,2289.609400401354,14.166666666666668,False,"SOC floor violated (min 0.006, unmet 280 Wh)"
5.5,0.45,1.3,0.34,0.4,0.0,0.18000000000000002,0.5444147363222125,2,mixed,29+29+24+8+1+1,6,92,19x10E,11.41907094660526,1.8794919788069973,16.094774726945687,0.3031394079866167,9.337779117005438,11.205334940406525,11.391081639833327,98.88423646943475,101.89786701725279,2.720833019595881,0.005137687656348918,0.8935706051644724,-283.17111781253266,283.17111781253266,0.19755602781915607,2024.9874064666517,2282.3534372286745,14.333333333333332,False,"SOC floor violated (min 0.005, unmet 283 Wh); did not refill (end SOC 0.894)"
5.5,0.4,1.6,0.34,0.6,0.0,0.24,0.4695058333139368,2,mixed,29+29+21+4+4,5,87,19x10E,11.322359182473049,1.8351209333302299,16.48392727181458,0.30415489281634567,9.409890476853226,11.291868572223871,11.479049707710372,98.07202830847434,101.10346953891563,2.7512736497078225,0.008691450876402603,0.8031230890895771,-285.18172720535307,285.18172720535307,0.14329591655574228,1914.933743071725,2262.5273710925717,14.5,False,"SOC floor violated (min 0.009, unmet 285 Wh); did not refill (end SOC 0.803)"
5.5,0.36,1.3,0.34,0.4,0.5,0.144,1.6238979058029053,2,mixed,29+29+14+7,4,79,19x10E,10.773337326978229,1.7367619476534273,17.417470506462536,0.3064059566970607,9.43525041215364,11.322300494584367,11.509986088810006,93.2729567904038,96.16069386343565,2.914207607462356,0.004403236146861977,0.6842835908342664,-285.6620512540987,228.78444486173726,0.4772184138062627,1738.8478816398417,2145.5031756513204,14.666666666666668,False,"SOC floor violated (min 0.004, unmet 229 Wh); did not refill (end SOC 0.684)"
5.5,0.45,1.6,0.34,0.4,0.0,0.18000000000000002,0.48669274633032533,2,mixed,29+29+21+3+3,5,85,19x10E,11.38565970321726,1.8639070415091878,16.22935013728306,0.3034960880519194,9.363008646554182,11.235610375865017,11.421858940005377,97.84837877555105,100.82401991512468,2.734585534630352,0.009019401466502505,0.7654897759447514,-286.3332921127834,286.3332921127834,0.30916254418961486,1870.9122777137545,2256.13374124926,14.666666666666668,False,"SOC floor violated (min 0.009, unmet 286 Wh); did not refill (end SOC 0.765)"
5.0,0.4,1.6,0.34,0.4,0.0,0.16000000000000003,0.41037840318928526,3,mixed,25+25+18,3,68,22x12E,11.62460367240322,1.4984908167654285,16.68345225762799,0.3046571773818805,10.55140963512729,12.661691562152749,12.871579747498219,74.7035452815245,76.61689862472876,5.963590563758572,0.3502811363653073,0.780573788964511,-288.9685797904235,0.0,0.35013932720593743,1496.7298221710025,1691.0619435170308,14.5,False,did not refill (end SOC 0.781)
5.5,0.4,1.3,0.28,0.6,0.5,0.24,1.661585651346976,2,mixed,29+29+24+10+10,5,102,19x10E,11.676537149193624,2.0258537042155162,14.931976547494031,0.2997897435780302,9.094973584426187,10.913968301311424,11.094885123557152,100.63358831393256,103.54143931074987,2.638580820510338,0.004434076741362479,0.9999999999997862,-289.13183062084846,289.13183062084846,80.26770877111011,2245.0947332565047,2324.0423085861516,14.083333333333334,False,"SOC floor violated (min 0.004, unmet 289 Wh)"
5.5,0.4,1.3,0.34,0.6,0.5,0.24,1.661585651346976,2,mixed,29+29+24+10+10,5,102,19x10E,11.676537149193624,2.0258537042155162,14.931976547494031,0.2997897435780302,9.094973584426187,10.913968301311424,11.094885123557152,100.63358831393256,103.54143931074987,2.638580820510338,0.004434076741362479,0.9999999999997862,-289.13183062084846,289.13183062084846,80.26770877111011,2245.0947332565047,2324.0423085861516,14.083333333333334,False,"SOC floor violated (min 0.004, unmet 289 Wh)"
